iter	RMSE
0	14.0849185
1	13.21403462
2	12.41043274
3	11.70698288
4	11.14805388
5	10.61016821
6	10.15861761
7	9.747637237
8	9.39540489
9	8.989678796
10	8.64322531
11	8.309058895
12	8.043230251
13	7.771184275
14	7.5540743
15	7.372860746
16	7.17176512
17	7.00172479
18	6.847978014
19	6.712902646
20	6.592802055
21	6.490571148
22	6.410261056
23	6.321605341
24	6.222653439
25	6.154592754
26	6.089973582
27	6.023499993
28	5.973485076
29	5.919066016
30	5.881949034
31	5.84350698
32	5.802158107
33	5.768063369
34	5.729870148
35	5.700264973
36	5.664899387
37	5.639597178
38	5.611229771
39	5.582202625
40	5.563020059
41	5.546160433
42	5.524446917
43	5.499371361
44	5.481074814
45	5.459429267
46	5.446677332
47	5.43868664
48	5.427832927
49	5.414231547
50	5.404403307
51	5.393824999
52	5.3775651
53	5.367831796
54	5.354778181
55	5.347857205
56	5.340129371
57	5.328854878
58	5.321593979
59	5.312056724
60	5.306994088
61	5.301259722
62	5.291172159
63	5.279359875
64	5.275767378
65	5.266631036
66	5.262070633
67	5.252976613
68	5.240253979
69	5.232263113
70	5.228884178
71	5.222902962
72	5.219205173
73	5.214579587
74	5.211371695
75	5.20598716
76	5.203170103
77	5.197246982
78	5.193283927
79	5.188097935
80	5.184751199
81	5.17997654
82	5.177309913
83	5.169568799
84	5.165884048
85	5.160770449
86	5.155365255
87	5.152389716
88	5.143322364
89	5.140309306
90	5.135689468
91	5.13465703
92	5.131728955
93	5.126341811
94	5.12343826
95	5.115895654
96	5.11334841
97	5.106530854
98	5.104397259
99	5.101876011
